---------------------------------------------
|        3 ≤ s ≤ 100    s < m < 110          |
|               PROC verified                |
|              time limit = 1000           |
---------------------------------------------

   m    |   s    |                   Method(s)                  |        α        |       runtime   
  80    |  3     |   FC                                         |  =     40/81    |   0.23 
  82    |  3     |   FC                                         |  =     40/81    |   0.30 
  83    |  3     |   FC                                         |  =     83/168   |   0.17 
  85    |  3     |   FC                                         |  =     83/168   |   0.32 
  86    |  3     |   FC                                         |  =     43/87    |   0.25 
  88    |  3     |   FC                                         |  =     43/87    |   0.36 
  89    |  3     |   FC                                         |  =     89/180   |   0.19 
  91    |  3     |   FC                                         |  =     89/180   |   0.38 
  92    |  3     |   FC                                         |  =     46/93    |   0.22 
  94    |  3     |   FC                                         |  =     46/93    |   0.33 
  95    |  3     |   FC                                         |  =     95/192   |   0.32 
  97    |  3     |   FC                                         |  =     95/192   |   0.38 
  98    |  3     |   FC                                         |  =     49/99    |   0.22 
  100   |  3     |   FC                                         |  =     49/99    |   0.34 
  101   |  3     |   FC                                         |  =    101/204   |   0.38 
  103   |  3     |   FC                                         |  =    101/204   |   0.44 
  104   |  3     |   FC                                         |  =     52/105   |   0.38 
  106   |  3     |   FC                                         |  =     52/105   |   0.45 
  107   |  3     |   FC                                         |  =    107/216   |   0.31 
  109   |  3     |   FC                                         |  =    107/216   |   0.52 
  110   |  3     |   FC                                         |  =     55/111   |   0.30 
  5     |  4     |   FC  INT  HALF  EBM  HBM  MID  GAP          |  =      3/8     |   0.23 
  7     |  4     |   FC  INT  HALF            MID  GAP          |  =      5/12    |   0.03 
  9     |  4     |   FC  INT  HALF            MID  GAP          |  =      7/16    |   0.00 
  11    |  4     |   FC  INT  HALF            MID  GAP          |  =      9/20    |   0.00 
  13    |  4     |   FC  INT  HALF            MID  GAP          |  =     11/24    |   0.00 
  15    |  4     |   FC  INT  HALF            MID  GAP          |  =     13/28    |   0.00 
  17    |  4     |   FC  INT  HALF            MID  GAP          |  =     15/32    |   0.00 
  19    |  4     |   FC  INT  HALF            MID  GAP          |  =     17/36    |   0.00 
  21    |  4     |   FC  INT  HALF            MID  GAP          |  =     19/40    |   0.01 
  23    |  4     |   FC  INT  HALF            MID  GAP          |  =     21/44    |   0.00 
  25    |  4     |   FC  INT  HALF            MID  GAP          |  =     23/48    |   0.01 
  27    |  4     |   FC  INT  HALF            MID  GAP          |  =     25/52    |   0.01 
  29    |  4     |   FC  INT  HALF            MID  GAP          |  =     27/56    |   0.01 
  31    |  4     |   FC  INT  HALF            MID  GAP          |  =     29/60    |   0.01 
  33    |  4     |   FC  INT  HALF            MID  GAP          |  =     31/64    |   0.01 
  35    |  4     |   FC  INT  HALF            MID  GAP          |  =     33/68    |   0.01 
  37    |  4     |   FC  INT  HALF            MID  GAP          |  =     35/72    |   0.01 
  39    |  4     |   FC  INT  HALF            MID  GAP          |  =     37/76    |   0.01 
  41    |  4     |   FC  INT  HALF            MID  GAP          |  =     39/80    |   0.01 
  43    |  4     |   FC  INT  HALF            MID  GAP          |  =     41/84    |   0.01 
  45    |  4     |   FC  INT  HALF            MID  GAP          |  =     43/88    |   0.02 
  47    |  4     |   FC  INT  HALF            MID  GAP          |  =     45/92    |   0.01 
  49    |  4     |   FC  INT  HALF            MID  GAP          |  =     47/96    |   0.01 
  51    |  4     |   FC  INT  HALF            MID  GAP          |  =     49/100   |   0.01 
  53    |  4     |   FC  INT  HALF            MID  GAP          |  =     51/104   |   0.01 
  55    |  4     |   FC  INT  HALF            MID  GAP          |  =     53/108   |   0.01 
  57    |  4     |   FC  INT  HALF            MID  GAP          |  =     55/112   |   0.01 
  59    |  4     |   FC  INT  HALF            MID  GAP          |  =     57/116   |   0.01 
  61    |  4     |   FC  INT  HALF            MID  GAP          |  =     59/120   |   0.01 
  63    |  4     |   FC  INT  HALF            MID  GAP          |  =     61/124   |   0.01 
  65    |  4     |   FC  INT  HALF            MID  GAP          |  =     63/128   |   0.01 
  67    |  4     |   FC  INT  HALF            MID  GAP          |  =     65/132   |   0.01 
  69    |  4     |   FC  INT  HALF            MID  GAP          |  =     67/136   |   0.01 
  71    |  4     |   FC  INT  HALF            MID  GAP          |  =     69/140   |   0.01 
  73    |  4     |   FC  INT  HALF            MID  GAP          |  =     71/144   |   0.01 
  75    |  4     |   FC  INT  HALF            MID  GAP          |  =     73/148   |   0.01 
  77    |  4     |   FC  INT  HALF            MID  GAP          |  =     75/152   |   0.01 
  79    |  4     |   FC  INT  HALF            MID  GAP          |  =     77/156   |   0.01 
  81    |  4     |   FC  INT  HALF            MID  GAP          |  =     79/160   |   0.02 
  83    |  4     |   FC  INT  HALF            MID  GAP          |  =     81/164   |   0.02 
  85    |  4     |   FC  INT  HALF            MID  GAP          |  =     83/168   |   0.02 
  87    |  4     |   FC  INT  HALF            MID  GAP          |  =     85/172   |   0.02 
  89    |  4     |   FC  INT  HALF            MID  GAP          |  =     87/176   |   0.02 
  91    |  4     |   FC  INT  HALF            MID  GAP          |  =     89/180   |   0.01 
  93    |  4     |   FC  INT  HALF            MID  GAP          |  =     91/184   |   0.02 
  95    |  4     |   FC  INT  HALF            MID  GAP          |  =     93/188   |   0.02 
  97    |  4     |   FC  INT  HALF            MID  GAP          |  =     95/192   |   0.02 
  99    |  4     |   FC  INT  HALF            MID  GAP          |  =     97/196   |   0.02 
  101   |  4     |   FC  INT  HALF            MID  GAP          |  =     99/200   |   0.03 
  103   |  4     |   FC  INT  HALF            MID  GAP          |  =    101/204   |   0.02 
  105   |  4     |   FC  INT  HALF            MID  GAP          |  =    103/208   |   0.02 
  107   |  4     |   FC  INT  HALF            MID  GAP          |  =    105/212   |   0.02 
  109   |  4     |   FC  INT  HALF            MID  GAP          |  =    107/216   |   0.02 
  6     |  5     |   FC                       MID  GAP          |  =      2/5     |   0.04 
  7     |  5     |   FC             EBM                         |  =      1/3     |   0.04 
  8     |  5     |   FC                                         |  =      2/5     |   0.01 
  9     |  5     |   FC                                         |  =      2/5     |   0.01 
  11    |  5     |       INT  HALF            MID  GAP          |  =     13/30    |   0.01 
  12    |  5     |   FC                                         |  =      2/5     |   0.04 
  13    |  5     |   FC                                         |  =     13/30    |   0.01 
  14    |  5     |   FC                                         |  =     11/25    |   0.04 
  16    |  5     |   FC  INT                  MID  GAP  TRAIN   |  =     16/35    |   0.31 
  17    |  5     |   FC                                         |  =     13/30    |   0.05 
  18    |  5     |   FC                                         |  =      9/20    |   0.04 
  19    |  5     |   FC                                         |  =     16/35    |   0.08 
  21    |  5     |   FC                                         |  =      7/15    |   0.00 
  22    |  5     |   FC                                         |  =      9/20    |   0.04 
  23    |  5     |   FC                                         |  =     23/50    |   0.01 
  24    |  5     |   FC                                         |  =      7/15    |   0.08 
  26    |  5     |   FC                                         |  =     26/55    |   0.01 
  27    |  5     |   FC                                         |  =     23/50    |   0.08 
  28    |  5     |   FC                                         |  =      7/15    |   0.02 
  29    |  5     |   FC                                         |  =     26/55    |   0.12 
  31    |  5     |   FC                                         |  =     31/65    |   0.01 
  32    |  5     |   FC                                         |  =      7/15    |   0.09 
  33    |  5     |   FC                                         |  =     33/70    |   0.03 
  34    |  5     |   FC                                         |  =     31/65    |   0.08 
  36    |  5     |   FC                                         |  =     12/25    |   0.02 
  37    |  5     |   FC                                         |  =     33/70    |   0.13 
  38    |  5     |   FC                                         |  =     19/40    |   0.03 
  39    |  5     |   FC                                         |  =     12/25    |   0.05 
  41    |  5     |   FC                                         |  =     41/85    |   0.02 
  42    |  5     |   FC                                         |  =     19/40    |   0.08 
  43    |  5     |   FC                                         |  =     43/90    |   0.03 
  44    |  5     |   FC                                         |  =     41/85    |   0.12 
  46    |  5     |   FC                                         |  =     46/95    |   0.06 
  47    |  5     |   FC                                         |  =     43/90    |   0.13 
  48    |  5     |   FC                                         |  =     12/25    |   0.07 
  49    |  5     |   FC                                         |  =     46/95    |   0.09 
  51    |  5     |   FC                                         |  =     17/35    |   0.08 
  52    |  5     |   FC                                         |  =     12/25    |   0.12 
  53    |  5     |   FC                                         |  =     53/110   |   0.08 
  54    |  5     |   FC                                         |  =     17/35    |   0.13 
  56    |  5     |   FC                                         |  =     56/115   |   0.09 
  57    |  5     |   FC                                         |  =     53/110   |   0.12 
  58    |  5     |   FC                                         |  =     29/60    |   0.05 
  59    |  5     |   FC                                         |  =     56/115   |   0.13 
  61    |  5     |   FC                                         |  =     61/125   |   0.07 
  62    |  5     |   FC                                         |  =     29/60    |   0.18 
  63    |  5     |   FC                                         |  =     63/130   |   0.06 
  64    |  5     |   FC                                         |  =     61/125   |   0.13 
  66    |  5     |   FC                                         |  =     22/45    |   0.04 
  67    |  5     |   FC                                         |  =     63/130   |   0.20 
  68    |  5     |   FC                                         |  =     17/35    |   0.13 
  69    |  5     |   FC                                         |  =     22/45    |   0.17 
  71    |  5     |   FC                                         |  =     71/145   |   0.05 
  72    |  5     |   FC                                         |  =     17/35    |   0.21 
  73    |  5     |   FC                                         |  =     73/150   |   0.09 
  74    |  5     |   FC                                         |  =     71/145   |   0.17 
  76    |  5     |   FC                                         |  =     76/155   |   0.09 
  77    |  5     |   FC                                         |  =     73/150   |   0.16 
  78    |  5     |   FC                                         |  =     39/80    |   0.10 
  79    |  5     |   FC                                         |  =     76/155   |   0.14 
  81    |  5     |   FC                                         |  =     27/55    |   0.08 
  82    |  5     |   FC                                         |  =     39/80    |   0.17 
  83    |  5     |   FC                                         |  =     83/170   |   0.10 
  84    |  5     |   FC                                         |  =     27/55    |   0.11 
  86    |  5     |   FC                                         |  =     86/175   |   0.09 
  87    |  5     |   FC                                         |  =     83/170   |   0.24 
  88    |  5     |   FC                                         |  =     22/45    |   0.16 
  89    |  5     |   FC                                         |  =     86/175   |   0.15 
  91    |  5     |   FC                                         |  =     91/185   |   0.07 
  92    |  5     |   FC                                         |  =     22/45    |   0.27 
  93    |  5     |   FC                                         |  =     93/190   |   0.19 
  94    |  5     |   FC                                         |  =     91/185   |   0.19 
  96    |  5     |   FC                                         |  =     32/65    |   0.06 
  97    |  5     |   FC                                         |  =     93/190   |   0.32 
  98    |  5     |   FC                                         |  =     49/100   |   0.12 
  99    |  5     |   FC                                         |  =     32/65    |   0.18 
  101   |  5     |   FC                                         |  =    101/205   |   0.10 
  102   |  5     |   FC                                         |  =     49/100   |   0.24 
  103   |  5     |   FC                                         |  =    103/210   |   0.16 
  104   |  5     |   FC                                         |  =    101/205   |   0.21 
  106   |  5     |   FC                                         |  =    106/215   |   0.21 
  107   |  5     |   FC                                         |  =    103/210   |   0.26 
  108   |  5     |   FC                                         |  =     27/55    |   0.21 
  109   |  5     |   FC                                         |  =    106/215   |   0.22 
  7     |  6     |       INT  HALF  EBM                         |  =      1/3     |   0.00 
  11    |  6     |   FC                                         |  =      7/18    |   0.04 
  13    |  6     |   FC  INT                  MID  GAP  TRAIN   |  =     13/30    |   0.01 
  17    |  6     |   FC                                         |  =     13/30    |   0.06 
  19    |  6     |   FC                                         |  =     19/42    |   0.01 
  23    |  6     |   FC                                         |  =     19/42    |   0.05 
  25    |  6     |   FC                                         |  =     25/54    |   0.01 
  29    |  6     |   FC                                         |  =     25/54    |   0.02 
  31    |  6     |   FC                                         |  =     31/66    |   0.02 
  35    |  6     |   FC                                         |  =     31/66    |   0.07 
  37    |  6     |   FC                                         |  =     37/78    |   0.02 
  41    |  6     |   FC                                         |  =     37/78    |   0.06 
  43    |  6     |   FC                                         |  =     43/90    |   0.04 
  47    |  6     |   FC                                         |  =     43/90    |   0.10 
  49    |  6     |   FC                                         |  =     49/102   |   0.04 
  53    |  6     |   FC                                         |  =     49/102   |   0.08 
  55    |  6     |   FC                                         |  =     55/114   |   0.04 
  59    |  6     |   FC                                         |  =     55/114   |   0.11 
  61    |  6     |   FC                                         |  =     61/126   |   0.04 
  65    |  6     |   FC                                         |  =     61/126   |   0.05 
  67    |  6     |   FC                                         |  =     67/138   |   0.04 
  71    |  6     |   FC                                         |  =     67/138   |   0.11 
  73    |  6     |   FC                                         |  =     73/150   |   0.05 
  77    |  6     |   FC                                         |  =     73/150   |   0.13 
  79    |  6     |   FC                                         |  =     79/162   |   0.07 
  83    |  6     |   FC                                         |  =     79/162   |   0.11 
  85    |  6     |   FC                                         |  =     85/174   |   0.10 
  89    |  6     |   FC                                         |  =     85/174   |   0.10 
  91    |  6     |   FC                                         |  =     91/186   |   0.08 
  95    |  6     |   FC                                         |  =     91/186   |   0.19 
  97    |  6     |   FC                                         |  =     97/198   |   0.10 
  101   |  6     |   FC                                         |  =     97/198   |   0.12 
  103   |  6     |   FC                                         |  =    103/210   |   0.10 
  107   |  6     |   FC                                         |  =    103/210   |   0.18 
  109   |  6     |   FC                                         |  =    109/222   |   0.15 
  8     |  7     |       INT  HALF  EBM  HBM  MID  GAP          |  =      5/14    |   0.01 
  9     |  7     |   FC  INT        EBM       MID  GAP          |  =      5/14    |   0.05 
  10    |  7     |   FC             EBM                         |  =      1/3     |   0.01 
  11    |  7     |   FC                                         |  =     11/28    |   0.01 
  12    |  7     |   FC                       MID               |  =      3/7     |   0.03 
  13    |  7     |   FC                                         |  =      8/21    |   0.01 
  15    |  7     |   FC                                         |  =      3/7     |   0.01 
  16    |  7     |   FC                                         |  =      3/7     |   0.01 
  17    |  7     |   FC                                         |  =     11/28    |   0.01 
  18    |  7     |   FC                                         |  =      3/7     |   0.01 
  19    |  7     |       INT  HALF            MID  GAP          |  =     25/56    |   0.01 
  20    |  7     |   FC                                         |  =      3/7     |   0.01 
  22    |  7     |   FC                                         |  =     22/49    |   0.01 
  23    |  7     |   FC                                         |  =     19/42    |   0.04 
  24    |  7     |   FC                                         |  =      3/7     |   0.01 
  25    |  7     |   FC                                         |  =     25/56    |   0.02 
  26    |  7     |   FC  INT  HALF            MID  GAP          |  =     13/28    |   0.01 
  27    |  7     |   FC                                         |  =     22/49    |   0.02 
  29    |  7     |   FC                                         |  =     29/63    |   0.01 
  30    |  7     |   FC                                         |  =     13/28    |   0.04 
  31    |  7     |   FC                                         |  =     25/56    |   0.02 
  32    |  7     |   FC                                         |  =     16/35    |   0.02 
  33    |  7     |   FC  INT                  MID  GAP  TRAIN   |  =     33/70    |   0.02 
  34    |  7     |   FC                                         |  =     29/63    |   0.09 
  36    |  7     |   FC                                         |  =     36/77    |   0.02 
  37    |  7     |   FC                                         |  =     33/70    |   0.02 
  38    |  7     |   FC                                         |  =     16/35    |   0.03 
  39    |  7     |   FC                                         |  =     13/28    |   0.03 
  40    |  7     |   FC                                         |  =     10/21    |   0.01 
  41    |  7     |   FC                                         |  =     36/77    |   0.02 
  43    |  7     |   FC                                         |  =     43/91    |   0.02 
  44    |  7     |   FC                                         |  =     10/21    |   0.01 
  45    |  7     |   FC                                         |  =     13/28    |   0.02 
  46    |  7     |   FC                                         |  =     23/49    |   0.04 
  47    |  7     |   FC                                         |  =     47/98    |   0.01 
  48    |  7     |   FC                                         |  =     43/91    |   0.03 
  50    |  7     |   FC                                         |  =     10/21    |   0.03 
  51    |  7     |   FC                                         |  =     47/98    |   0.06 
  52    |  7     |   FC                                         |  =     23/49    |   0.13 
  53    |  7     |   FC                                         |  =     53/112   |   0.05 
  54    |  7     |   FC                                         |  =     27/56    |   0.03 
  55    |  7     |   FC                                         |  =     10/21    |   0.04 
  57    |  7     |   FC                                         |  =     57/119   |   0.08 
  58    |  7     |   FC                                         |  =     27/56    |   0.03 
  59    |  7     |   FC                                         |  =     53/112   |   0.06 
  60    |  7     |   FC                                         |  =     10/21    |   0.06 
  61    |  7     |   FC                                         |  =     61/126   |   0.03 
  62    |  7     |   FC                                         |  =     57/119   |   0.05 
  64    |  7     |   FC                                         |  =     64/133   |   0.05 
  65    |  7     |   FC                                         |  =     61/126   |   0.05 
  66    |  7     |   FC                                         |  =     10/21    |   0.04 
  67    |  7     |   FC                                         |  =     67/140   |   0.05 
  68    |  7     |   FC                                         |  =     17/35    |   0.02 
  69    |  7     |   FC                                         |  =     64/133   |   0.08 
  71    |  7     |   FC                                         |  =     71/147   |   0.04 
  72    |  7     |   FC                                         |  =     17/35    |   0.06 
  73    |  7     |   FC                                         |  =     67/140   |   0.19 
  74    |  7     |   FC                                         |  =     37/77    |   0.05 
  75    |  7     |   FC                                         |  =     75/154   |   0.04 
  76    |  7     |   FC                                         |  =     71/147   |   0.07 
  78    |  7     |   FC                                         |  =     78/161   |   0.05 
  79    |  7     |   FC                                         |  =     75/154   |   0.04 
  80    |  7     |   FC                                         |  =     37/77    |   0.08 
  81    |  7     |   FC                                         |  =     27/56    |   0.06 
  82    |  7     |   FC                                         |  =     41/84    |   0.05 
  83    |  7     |   FC                                         |  =     78/161   |   0.07 
  85    |  7     |   FC                                         |  =     17/35    |   0.05 
  86    |  7     |   FC                                         |  =     41/84    |   0.05 
  87    |  7     |   FC                                         |  =     27/56    |   0.12 
  88    |  7     |   FC                                         |  =     44/91    |   0.06 
  89    |  7     |   FC                                         |  =     89/182   |   0.04 
  90    |  7     |   FC                                         |  =     17/35    |   0.09 
  92    |  7     |   FC                                         |  =     92/189   |   0.06 
  93    |  7     |   FC                                         |  =     89/182   |   0.17 
  94    |  7     |   FC                                         |  =     44/91    |   0.14 
  95    |  7     |   FC                                         |  =     95/196   |   0.07 
  96    |  7     |   FC                                         |  =     24/49    |   0.04 
  97    |  7     |   FC                                         |  =     92/189   |   0.13 
  99    |  7     |   FC                                         |  =     99/203   |   0.06 
  100   |  7     |   FC                                         |  =     24/49    |   0.08 
  101   |  7     |   FC                                         |  =     95/196   |   0.16 
  102   |  7     |   FC                                         |  =     17/35    |   0.09 
  103   |  7     |   FC                                         |  =    103/210   |   0.05 
  104   |  7     |   FC                                         |  =     99/203   |   0.15 
  106   |  7     |   FC                                         |  =    106/217   |   0.12 
  107   |  7     |   FC                                         |  =    103/210   |   0.06 
  108   |  7     |   FC                                         |  =     17/35    |   0.23 
  109   |  7     |   FC                                         |  =    109/224   |   0.17 
  110   |  7     |   FC                                         |  =     55/112   |   0.06 
  9     |  8     |   FC  INT  HALF            MID  GAP          |  =      3/8     |   0.03 
  11    |  8     |   FC             EBM                         |  =      1/3     |   0.01 
  13    |  8     |   FC  INT                  MID  GAP  TRAIN   |  =     13/32    |   0.02 
  15    |  8     |   FC                                         |  =      3/8     |   0.01 
  17    |  8     |   FC                                         |  =     17/40    |   0.01 
  19    |  8     |   FC                                         |  =     13/32    |   0.02 
  21    |  8     |   FC                                         |  =      7/16    |   0.01 
  23    |  8     |   FC                                         |  =     17/40    |   0.02 
  25    |  8     |   FC                                         |  =     25/56    |   0.01 
  27    |  8     |   FC                                         |  =      7/16    |   0.02 
  29    |  8     |   FC                                         |  =     29/64    |   0.02 
  31    |  8     |   FC                                         |  =     25/56    |   0.02 
  33    |  8     |   FC                                         |  =     11/24    |   0.02 
  35    |  8     |   FC                                         |  =     29/64    |   0.02 
  37    |  8     |   FC                                         |  =     37/80    |   0.02 
  39    |  8     |   FC                                         |  =     11/24    |   0.04 
  41    |  8     |   FC                                         |  =     41/88    |   0.02 
  43    |  8     |   FC                                         |  =     37/80    |   0.02 
  45    |  8     |   FC                                         |  =     15/32    |   0.02 
  47    |  8     |   FC                                         |  =     41/88    |   0.02 
  49    |  8     |   FC                                         |  =     49/104   |   0.02 
  51    |  8     |   FC                                         |  =     15/32    |   0.04 
  53    |  8     |   FC                                         |  =     53/112   |   0.03 
  55    |  8     |   FC                                         |  =     49/104   |   0.07 
  57    |  8     |   FC                                         |  =     19/40    |   0.05 
  59    |  8     |   FC                                         |  =     53/112   |   0.05 
  61    |  8     |   FC                                         |  =     61/128   |   0.04 
  63    |  8     |   FC                                         |  =     19/40    |   0.04 
  65    |  8     |   FC                                         |  =     65/136   |   0.04 
  67    |  8     |   FC                                         |  =     61/128   |   0.05 
  69    |  8     |   FC                                         |  =     23/48    |   0.05 
  71    |  8     |   FC                                         |  =     65/136   |   0.05 
  73    |  8     |   FC                                         |  =     73/152   |   0.04 
  75    |  8     |   FC                                         |  =     23/48    |   0.04 
  77    |  8     |   FC                                         |  =     77/160   |   0.03 
  79    |  8     |   FC                                         |  =     73/152   |   0.05 
  81    |  8     |   FC                                         |  =     27/56    |   0.05 
  83    |  8     |   FC                                         |  =     77/160   |   0.06 
  85    |  8     |   FC                                         |  =     85/176   |   0.05 
  87    |  8     |   FC                                         |  =     27/56    |   0.06 
  89    |  8     |   FC                                         |  =     89/184   |   0.06 
  91    |  8     |   FC                                         |  =     85/176   |   0.10 
  93    |  8     |   FC                                         |  =     31/64    |   0.06 
  95    |  8     |   FC                                         |  =     89/184   |   0.13 
  97    |  8     |   FC                                         |  =     97/200   |   0.07 
  99    |  8     |   FC                                         |  =     31/64    |   0.06 
  101   |  8     |   FC                                         |  =    101/208   |   0.07 
  103   |  8     |   FC                                         |  =     97/200   |   0.14 
  105   |  8     |   FC                                         |  =     35/72    |   0.08 
  107   |  8     |   FC                                         |  =    101/208   |   0.08 
  109   |  8     |   FC                                         |  =    109/224   |   0.11 
  10    |  9     |       INT        EBM                         |  =      1/3     |   0.01 
  11    |  9     |       INT  HALF  EBM  HBM  MID  GAP          |  =     13/36    |   0.02 
  13    |  9     |   FC             EBM                         |  =      1/3     |   0.01 
  14    |  9     |   FC                                         |  =      7/18    |   0.01 
  16    |  9     |   FC  INT                  MID  GAP          |  =     11/27    |   0.02 
  17    |  9     |   FC                                         |  =     10/27    |   0.01 
  19    |  9     |   FC                                         |  =     19/45    |   0.01 
  20    |  9     |   FC                       MID               |  =      4/9     |   0.01 
  22    |  9     |   FC                                         |  =      7/18    |   0.02 
  23    |  9     |   FC                                         |  =     23/54    |   0.01 
  25    |  9     |   FC                                         |  =      4/9     |   0.01 
  26    |  9     |   FC                                         |  =     19/45    |   0.02 
  28    |  9     |   FC                                         |  =      4/9     |   0.02 
  29    |  9     |       INT  HALF            MID  GAP          |  =     41/90    |   0.01 
  31    |  9     |   FC                                         |  =     23/54    |   0.02 
  32    |  9     |   FC                                         |  =      4/9     |   0.03 
  34    |  9     |   FC                                         |  =     29/63    |   0.01 
  35    |  9     |   FC                                         |  =      4/9     |   0.02 
  37    |  9     |   FC                                         |  =     37/81    |   0.03 
  38    |  9     |       INT  HALF            MID  GAP          |  =     59/126   |   0.02 
  40    |  9     |   FC                                         |  =      4/9     |   0.03 
  41    |  9     |   FC                                         |  =     41/90    |   0.03 
  43    |  9     |   FC                                         |  =     38/81    |   0.03 
  44    |  9     |   FC                                         |  =     37/81    |   0.03 
  46    |  9     |   FC                                         |  =     46/99    |   0.02 
  47    |  9     |       INT                  MID  GAP          |  =     37/78    |   0.02 
  49    |  9     |   FC                                         |  =     41/90    |   0.03 
  50    |  9     |   FC                                         |  =     25/54    |   0.03 
  52    |  9     |   FC                                         |  =     47/99    |   0.03 
  53    |  9     |   FC                                         |  =     46/99    |   0.05 
  55    |  9     |   FC                                         |  =     55/117   |   0.03 
  56    |  9     |   FC  INT                  MID  GAP  TRAIN   |  =     56/117   |   0.02 
  58    |  9     |   FC                                         |  =     25/54    |   0.04 
  59    |  9     |   FC                                         |  =     59/126   |   0.05 
  61    |  9     |   FC                                         |  =     56/117   |   0.03 
  62    |  9     |   FC                                         |  =     55/117   |   0.04 
  64    |  9     |   FC                                         |  =     64/135   |   0.05 
  65    |  9     |   FC                                         |  =     13/27    |   0.01 
  67    |  9     |   FC                                         |  =     59/126   |   0.05 
  68    |  9     |   FC                                         |  =     17/36    |   0.05 
  70    |  9     |   FC                                         |  =     13/27    |   0.03 
  71    |  9     |   FC                                         |  =     64/135   |   0.05 
  73    |  9     |   FC                                         |  =     73/153   |   0.05 
  74    |  9     |   FC                                         |  =     74/153   |   0.02 
  76    |  9     |   FC                                         |  =     17/36    |   0.05 
  77    |  9     |   FC                                         |  =     77/162   |   0.06 
  79    |  9     |   FC                                         |  =     74/153   |   0.03 
  80    |  9     |   FC                                         |  =     73/153   |   0.05 
  82    |  9     |   FC                                         |  =     82/171   |   0.05 
  83    |  9     |   FC                                         |  =     83/171   |   0.03 
  85    |  9     |   FC                                         |  =     77/162   |   0.09 
  86    |  9     |   FC                                         |  =     43/90    |   0.06 
  88    |  9     |   FC                                         |  =     83/171   |   0.04 
  89    |  9     |   FC                                         |  =     82/171   |   0.09 
  91    |  9     |   FC                                         |  =     13/27    |   0.05 
  92    |  9     |   FC                                         |  =     92/189   |   0.03 
  94    |  9     |   FC                                         |  =     43/90    |   0.06 
  95    |  9     |   FC                                         |  =     95/198   |   0.06 
  97    |  9     |   FC                                         |  =     92/189   |   0.04 
  98    |  9     |   FC                                         |  =     13/27    |   0.07 
  100   |  9     |   FC                                         |  =    100/207   |   0.06 
