---------------------------------------------
|        3 ≤ s ≤ 100    s < m < 250          |
|              SCOTT verified                |
|              time limit = 1000           |
|              m ≤ s*s                       |
---------------------------------------------

   m    |   s    |                   Method(s)                  |        α        |       runtime   
  59    |  9     |   FC                            GAP          |  =     59/126   | runtime:  0.05
  61    |  9     |   FC                            GAP          |  =     56/117   | runtime:  0.04
  62    |  9     |   FC                            GAP          |  =     55/117   | runtime:  0.06
  64    |  9     |   FC                            GAP          |  =     64/135   | runtime:  0.05
  65    |  9     |   FC                            GAP          |  =     13/27    | runtime:  0.02
  67    |  9     |   FC                            GAP          |  =     59/126   | runtime:  0.07
  68    |  9     |   FC                            GAP          |  =     17/36    | runtime:  0.06
  70    |  9     |   FC                            GAP          |  =     13/27    | runtime:  0.04
  71    |  9     |   FC                            GAP          |  =     64/135   | runtime:  0.07
  73    |  9     |   FC                            GAP          |  =     73/153   | runtime:  0.07
  74    |  9     |   FC                            GAP          |  =     74/153   | runtime:  0.03
  76    |  9     |   FC                            GAP          |  =     17/36    | runtime:  0.10
  77    |  9     |   FC                            GAP          |  =     77/162   | runtime:  0.07
  79    |  9     |   FC                            GAP          |  =     74/153   | runtime:  0.04
  80    |  9     |   FC                            GAP          |  =     73/153   | runtime:  0.11
  11    |  10    |       INT        EBM  HBM  MID  GAP          |  =      7/20    | runtime:  0.02
  13    |  10    |   FC  INT        EBM       MID  GAP          |  =      7/20    | runtime:  0.05
  17    |  10    |       INT  HALF            MID  GAP          |  =      2/5     | runtime:  0.01
  19    |  10    |   FC                            GAP          |  =     11/30    | runtime:  0.02
  21    |  10    |   FC                            GAP          |  =     21/50    | runtime:  0.02
  23    |  10    |   FC                            GAP          |  =     17/40    | runtime:  0.01
  27    |  10    |   FC  INT  HALF                 GAP          |  =      9/20    | runtime:  0.02
  29    |  10    |   FC                            GAP          |  =     21/50    | runtime:  0.02
  31    |  10    |   FC                            GAP          |  =     31/70    | runtime:  0.02
  33    |  10    |   FC                            GAP          |  =      9/20    | runtime:  0.02
  37    |  10    |   FC  INT                  MID  GAP  TRAIN   |  =     37/80    | runtime:  0.03
  39    |  10    |   FC                            GAP          |  =     31/70    | runtime:  0.03
  41    |  10    |   FC                            GAP          |  =     41/90    | runtime:  0.03
  43    |  10    |   FC                            GAP          |  =     37/80    | runtime:  0.02
  47    |  10    |   FC                            GAP          |  =     47/100   | runtime:  0.02
  49    |  10    |   FC                            GAP          |  =     41/90    | runtime:  0.05
  51    |  10    |   FC                            GAP          |  =     51/110   | runtime:  0.04
  53    |  10    |   FC                            GAP          |  =     47/100   | runtime:  0.03
  57    |  10    |   FC                            GAP          |  =     19/40    | runtime:  0.04
