---------------------------------------------
|        3 ≤ s ≤ 100    s < m < 110          |
|               PROC verified                |
|              time limit = 660            |
---------------------------------------------

   m    |   s    |                   Method(s)                  |        α        |       runtime   
  16    |  5     |   FC  INT                  MID  GAP  TRAIN   |  =     16/35    |   0.29 
  17    |  5     |   FC                                         |  =     13/30    |   0.05 
  18    |  5     |   FC                                         |  =      9/20    |   0.04 
  19    |  5     |   FC                                         |  =     16/35    |   0.07 
  21    |  5     |   FC                                         |  =      7/15    |   0.00 
  22    |  5     |   FC                                         |  =      9/20    |   0.04 
  23    |  5     |   FC                                         |  =     23/50    |   0.01 
  24    |  5     |   FC                                         |  =      7/15    |   0.06 
  26    |  5     |   FC                                         |  =     26/55    |   0.01 
  27    |  5     |   FC                                         |  =     23/50    |   0.08 
  28    |  5     |   FC                                         |  =      7/15    |   0.02 
  29    |  5     |   FC                                         |  =     26/55    |   0.11 
  31    |  5     |   FC                                         |  =     31/65    |   0.01 
  32    |  5     |   FC                                         |  =      7/15    |   0.09 
  33    |  5     |   FC                                         |  =     33/70    |   0.03 
  34    |  5     |   FC                                         |  =     31/65    |   0.07 
  36    |  5     |   FC                                         |  =     12/25    |   0.02 
  37    |  5     |   FC                                         |  =     33/70    |   0.12 
  38    |  5     |   FC                                         |  =     19/40    |   0.04 
  39    |  5     |   FC                                         |  =     12/25    |   0.04 
  41    |  5     |   FC                                         |  =     41/85    |   0.02 
  42    |  5     |   FC                                         |  =     19/40    |   0.07 
  43    |  5     |   FC                                         |  =     43/90    |   0.03 
  44    |  5     |   FC                                         |  =     41/85    |   0.11 
  46    |  5     |   FC                                         |  =     46/95    |   0.05 
  47    |  5     |   FC                                         |  =     43/90    |   0.12 
  48    |  5     |   FC                                         |  =     12/25    |   0.07 
  49    |  5     |   FC                                         |  =     46/95    |   0.08 
  51    |  5     |   FC                                         |  =     17/35    |   0.07 
  52    |  5     |   FC                                         |  =     12/25    |   0.12 
  53    |  5     |   FC                                         |  =     53/110   |   0.07 
