   m    |   s    |                   Method(s)                  |        α        |       runtime   
  52    |  7     |   FC                                         |  =     23/49    |  multi: 0.00  -  solv: 0.00  - runtime:  0.07 
  53    |  7     |   FC                                         |  =     53/112   |  multi: 0.00  -  solv: 0.00  - runtime:  0.03 
  54    |  7     |   FC                                         |  =     27/56    |  multi: 0.00  -  solv: 0.00  - runtime:  0.02 
  55    |  7     |   FC                                         |  =     10/21    |  multi: 0.00  -  solv: 0.00  - runtime:  0.03 
  57    |  7     |   FC                                         |  =     57/119   |  multi: 0.00  -  solv: 0.00  - runtime:  0.07 
  58    |  7     |   FC                                         |  =     27/56    |  multi: 0.00  -  solv: 0.00  - runtime:  0.02 
  59    |  7     |   FC                                         |  =     53/112   |  multi: 0.00  -  solv: 0.00  - runtime:  0.04 
  60    |  7     |   FC                                         |  =     10/21    |  multi: 0.00  -  solv: 0.00  - runtime:  0.04 
  61    |  7     |   FC                                         |  =     61/126   |  multi: 0.00  -  solv: 0.00  - runtime:  0.02 
  62    |  7     |   FC                                         |  =     57/119   |  multi: 0.00  -  solv: 0.00  - runtime:  0.04 
  64    |  7     |   FC                                         |  =     64/133   |  multi: 0.00  -  solv: 0.00  - runtime:  0.05 
  65    |  7     |   FC                                         |  =     61/126   |  multi: 0.00  -  solv: 0.00  - runtime:  0.04 
  66    |  7     |   FC                                         |  =     10/21    |  multi: 0.00  -  solv: 0.00  - runtime:  0.04 
  67    |  7     |   FC                                         |  =     67/140   |  multi: 0.00  -  solv: 0.00  - runtime:  0.05 
  68    |  7     |   FC                                         |  =     17/35    |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  69    |  7     |   FC                                         |  =     64/133   |  multi: 0.00  -  solv: 0.00  - runtime:  0.08 
  71    |  7     |   FC                                         |  =     71/147   |  multi: 0.00  -  solv: 0.00  - runtime:  0.03 
  72    |  7     |   FC                                         |  =     17/35    |  multi: 0.00  -  solv: 0.00  - runtime:  0.05 
  73    |  7     |   FC                                         |  =     67/140   |  multi: 0.00  -  solv: 0.00  - runtime:  0.17 
  74    |  7     |   FC                                         |  =     37/77    |  multi: 0.00  -  solv: 0.00  - runtime:  0.05 
  75    |  7     |   FC                                         |  =     75/154   |  multi: 0.00  -  solv: 0.00  - runtime:  0.04 
  76    |  7     |   FC                                         |  =     71/147   |  multi: 0.00  -  solv: 0.00  - runtime:  0.07 
  78    |  7     |   FC                                         |  =     78/161   |  multi: 0.00  -  solv: 0.00  - runtime:  0.04 
  79    |  7     |   FC                                         |  =     75/154   |  multi: 0.00  -  solv: 0.00  - runtime:  0.03 
  80    |  7     |   FC                                         |  =     37/77    |  multi: 0.00  -  solv: 0.00  - runtime:  0.08 
  81    |  7     |   FC                                         |  =     27/56    |  multi: 0.00  -  solv: 0.00  - runtime:  0.06 
  82    |  7     |   FC                                         |  =     41/84    |  multi: 0.00  -  solv: 0.00  - runtime:  0.04 
  83    |  7     |   FC                                         |  =     78/161   |  multi: 0.00  -  solv: 0.00  - runtime:  0.05 
  85    |  7     |   FC                                         |  =     17/35    |  multi: 0.00  -  solv: 0.00  - runtime:  0.05 
  86    |  7     |   FC                                         |  =     41/84    |  multi: 0.00  -  solv: 0.00  - runtime:  0.04 
  87    |  7     |   FC                                         |  =     27/56    |  multi: 0.00  -  solv: 0.00  - runtime:  0.11 
  88    |  7     |   FC                                         |  =     44/91    |  multi: 0.00  -  solv: 0.00  - runtime:  0.06 
  89    |  7     |   FC                                         |  =     89/182   |  multi: 0.00  -  solv: 0.00  - runtime:  0.03 
  90    |  7     |   FC                                         |  =     17/35    |  multi: 0.00  -  solv: 0.00  - runtime:  0.08 
  92    |  7     |   FC                                         |  =     92/189   |  multi: 0.00  -  solv: 0.00  - runtime:  0.06 
  93    |  7     |   FC                                         |  =     89/182   |  multi: 0.00  -  solv: 0.00  - runtime:  0.16 
  94    |  7     |   FC                                         |  =     44/91    |  multi: 0.00  -  solv: 0.00  - runtime:  0.13 
  95    |  7     |   FC                                         |  =     95/196   |  multi: 0.00  -  solv: 0.00  - runtime:  0.07 
  96    |  7     |   FC                                         |  =     24/49    |  multi: 0.00  -  solv: 0.00  - runtime:  0.03 
