
   m    |   s    |                   Method(s)                  |        α        |       runtime
  17    |  5     |   FC                            GAP          |  =     13/30    | 0.05 sec
  18    |  5     |   FC                            GAP          |  =      9/20    | 0.09 sec
  19    |  5     |   FC                            GAP          |  =     16/35    | 0.05 sec
  21    |  5     |   FC                            GAP          |  =      7/15    | 0.00 sec
  22    |  5     |   FC                            GAP          |  =      9/20    | 0.11 sec
  23    |  5     |   FC                            GAP          |  =     23/50    | 0.02 sec
  24    |  5     |   FC                            GAP          |  =      7/15    | 0.09 sec
  26    |  5     |   FC                            GAP          |  =     26/55    | 0.00 sec
  27    |  5     |   FC                            GAP          |  =     23/50    | 0.03 sec
  28    |  5     |   FC                            GAP          |  =      7/15    | 0.05 sec
  29    |  5     |   FC                            GAP          |  =     26/55    | 0.12 sec
  31    |  5     |   FC                            GAP          |  =     31/65    | 0.00 sec
  32    |  5     |   FC                            GAP          |  =      7/15    | 0.22 sec
  33    |  5     |   FC                            GAP          |  =     33/70    | 0.03 sec
  34    |  5     |   FC                            GAP          |  =     31/65    | 0.08 sec
  36    |  5     |   FC                            GAP          |  =     12/25    | 0.06 sec
  37    |  5     |   FC                            GAP          |  =     33/70    | 0.16 sec
  38    |  5     |   FC                            GAP          |  =     19/40    | 0.09 sec
  39    |  5     |   FC                            GAP          |  =     12/25    | 0.08 sec
  41    |  5     |   FC                            GAP          |  =     41/85    | 0.06 sec
  42    |  5     |   FC                            GAP          |  =     19/40    | 0.15 sec
  43    |  5     |   FC                            GAP          |  =     43/90    | 0.05 sec
  44    |  5     |   FC                            GAP          |  =     41/85    | 0.13 sec
  46    |  5     |   FC                            GAP          |  =     46/95    | 0.06 sec
  47    |  5     |   FC                            GAP          |  =     43/90    | 0.19 sec
  48    |  5     |   FC                            GAP          |  =     12/25    | 0.08 sec
  49    |  5     |   FC                            GAP          |  =     46/95    | 0.06 sec
  51    |  5     |   FC                            GAP          |  =     17/35    | 0.06 sec
  52    |  5     |   FC                            GAP          |  =     12/25    | 0.20 sec
  53    |  5     |   FC                            GAP          |  =     53/110   | 0.11 sec
  54    |  5     |   FC                            GAP          |  =     17/35    | 0.16 sec
  56    |  5     |   FC                            GAP          |  =     56/115   | 0.09 sec
  57    |  5     |   FC                            GAP          |  =     53/110   | 0.19 sec
  58    |  5     |   FC                            GAP          |  =     29/60    | 0.13 sec
  59    |  5     |   FC                            GAP          |  =     56/115   | 0.16 sec
  61    |  5     |   FC                            GAP          |  =     61/125   | 0.05 sec
  62    |  5     |   FC                            GAP          |  =     29/60    | 0.28 sec
  63    |  5     |   FC                            GAP          |  =     63/130   | 0.10 sec
  64    |  5     |   FC                            GAP          |  =     61/125   | 0.19 sec
  66    |  5     |   FC                            GAP          |  =     22/45    | 0.08 sec
  67    |  5     |   FC                            GAP          |  =     63/130   | 0.27 sec
  68    |  5     |   FC                            GAP          |  =     17/35    | 0.19 sec
  69    |  5     |   FC                            GAP          |  =     22/45    | 0.24 sec
  71    |  5     |   FC                            GAP          |  =     71/145   | 0.06 sec
  72    |  5     |   FC                            GAP          |  =     17/35    | 0.32 sec
  73    |  5     |   FC                            GAP          |  =     73/150   | 0.14 sec
  74    |  5     |   FC                            GAP          |  =     71/145   | 0.19 sec
  76    |  5     |   FC                            GAP          |  =     76/155   | 0.09 sec
  77    |  5     |   FC                            GAP          |  =     73/150   | 0.25 sec
  78    |  5     |   FC                            GAP          |  =     39/80    | 0.17 sec
  79    |  5     |   FC                            GAP          |  =     76/155   | 0.14 sec
  81    |  5     |   FC                            GAP          |  =     27/55    | 0.13 sec
  82    |  5     |   FC                            GAP          |  =     39/80    | 0.30 sec
  83    |  5     |   FC                            GAP          |  =     83/170   | 0.14 sec
  84    |  5     |   FC                            GAP          |  =     27/55    | 0.19 sec
  86    |  5     |   FC                            GAP          |  =     86/175   | 0.13 sec
  87    |  5     |   FC                            GAP          |  =     83/170   | 0.39 sec
  88    |  5     |   FC                            GAP          |  =     22/45    | 0.20 sec
  89    |  5     |   FC                            GAP          |  =     86/175   | 0.27 sec
  91    |  5     |   FC                            GAP          |  =     91/185   | 0.11 sec
  92    |  5     |   FC                            GAP          |  =     22/45    | 0.50 sec
  93    |  5     |   FC                            GAP          |  =     93/190   | 0.22 sec
  94    |  5     |   FC                            GAP          |  =     91/185   | 0.32 sec
  96    |  5     |   FC                            GAP          |  =     32/65    | 0.13 sec
  97    |  5     |   FC                            GAP          |  =     93/190   | 0.55 sec
  98    |  5     |   FC                            GAP          |  =     49/100   | 0.22 sec
  99    |  5     |   FC                            GAP          |  =     32/65    | 0.27 sec
  101   |  5     |   FC                            GAP          |  =    101/205   | 0.14 sec
  102   |  5     |   FC                            GAP          |  =     49/100   | 0.52 sec
  103   |  5     |   FC                            GAP          |  =    103/210   | 0.20 sec
  104   |  5     |   FC                            GAP          |  =    101/205   | 0.33 sec
  106   |  5     |   FC                            GAP          |  =    106/215   | 0.21 sec
  107   |  5     |   FC                            GAP          |  =    103/210   | 0.52 sec
  108   |  5     |   FC                            GAP          |  =     27/55    | 0.28 sec
  109   |  5     |   FC                            GAP          |  =    106/215   | 0.36 sec
  7     |  6     |       INT  HALF  EBM            GAP          |  =      1/3     | 0.00 sec
  11    |  6     |   FC                            GAP          |  =      7/18    | 0.06 sec
  13    |  6     |   FC  INT                  MID  GAP  TRAIN   |  =     13/30    | 0.02 sec
  17    |  6     |   FC                            GAP          |  =     13/30    | 0.05 sec
  19    |  6     |   FC                            GAP          |  =     19/42    | 0.00 sec
  23    |  6     |   FC                            GAP          |  =     19/42    | 0.02 sec
  25    |  6     |   FC                            GAP          |  =     25/54    | 0.02 sec
  29    |  6     |   FC                            GAP          |  =     25/54    | 0.06 sec
  31    |  6     |   FC                            GAP          |  =     31/66    | 0.02 sec
  35    |  6     |   FC                            GAP          |  =     31/66    | 0.03 sec
  37    |  6     |   FC                            GAP          |  =     37/78    | 0.02 sec
  41    |  6     |   FC                            GAP          |  =     37/78    | 0.09 sec
  43    |  6     |   FC                            GAP          |  =     43/90    | 0.03 sec
  47    |  6     |   FC                            GAP          |  =     43/90    | 0.11 sec
  49    |  6     |   FC                            GAP          |  =     49/102   | 0.05 sec
  53    |  6     |   FC                            GAP          |  =     49/102   | 0.08 sec
  55    |  6     |   FC                            GAP          |  =     55/114   | 0.08 sec
  59    |  6     |   FC                            GAP          |  =     55/114   | 0.09 sec
  61    |  6     |   FC                            GAP          |  =     61/126   | 0.05 sec
  65    |  6     |   FC                            GAP          |  =     61/126   | 0.08 sec
  67    |  6     |   FC                            GAP          |  =     67/138   | 0.08 sec
  71    |  6     |   FC                            GAP          |  =     67/138   | 0.14 sec
  73    |  6     |   FC                            GAP          |  =     73/150   | 0.09 sec
  77    |  6     |   FC                            GAP          |  =     73/150   | 0.17 sec
  79    |  6     |   FC                            GAP          |  =     79/162   | 0.06 sec
  83    |  6     |   FC                            GAP          |  =     79/162   | 0.19 sec
  85    |  6     |   FC                            GAP          |  =     85/174   | 0.08 sec
  89    |  6     |   FC                            GAP          |  =     85/174   | 0.18 sec
  91    |  6     |   FC                            GAP          |  =     91/186   | 0.08 sec
  95    |  6     |   FC                            GAP          |  =     91/186   | 0.30 sec
  97    |  6     |   FC                            GAP          |  =     97/198   | 0.11 sec
  101   |  6     |   FC                            GAP          |  =     97/198   | 0.19 sec
  103   |  6     |   FC                            GAP          |  =    103/210   | 0.15 sec
  107   |  6     |   FC                            GAP          |  =    103/210   | 0.29 sec
  109   |  6     |   FC                            GAP          |  =    109/222   | 0.16 sec
  8     |  7     |       INT  HALF  EBM  HBM  MID  GAP          |  =      5/14    | 0.02 sec
  9     |  7     |   FC  INT        EBM       MID  GAP          |  =      5/14    | 0.05 sec
  10    |  7     |   FC             EBM            GAP          |  =      1/3     | 0.02 sec
  11    |  7     |   FC                            GAP          |  =     11/28    | 0.00 sec
  12    |  7     |   FC                                         |  =      3/7     | 0.02 sec
  13    |  7     |   FC                            GAP          |  =      8/21    | 0.02 sec
  15    |  7     |   FC                            GAP          |  =      3/7     | 0.00 sec
  16    |  7     |   FC                            GAP          |  =      3/7     | 0.02 sec
  17    |  7     |   FC                            GAP          |  =     11/28    | 0.00 sec
  18    |  7     |   FC                            GAP          |  =      3/7     | 0.00 sec
  19    |  7     |       INT  HALF            MID  GAP          |  =     25/56    | 0.02 sec
  20    |  7     |   FC                            GAP          |  =      3/7     | 0.01 sec
  22    |  7     |   FC                            GAP          |  =     22/49    | 0.02 sec
  23    |  7     |   FC                            GAP          |  =     19/42    | 0.05 sec
  24    |  7     |   FC                            GAP          |  =      3/7     | 0.02 sec
  25    |  7     |   FC                            GAP          |  =     25/56    | 0.02 sec
  26    |  7     |   FC  INT  HALF                 GAP          |  =     13/28    | 0.02 sec
  27    |  7     |   FC                            GAP          |  =     22/49    | 0.01 sec
  29    |  7     |   FC                            GAP          |  =     29/63    | 0.02 sec
  30    |  7     |   FC                            GAP          |  =     13/28    | 0.00 sec
